team1,team2,score1,score2,RESULT,SCORE_DIFF
Utah Jazz,Denver Nuggets,78,80,L,-2
Denver Nuggets,Utah Jazz,80,78,W,2
Miami Heat,Milwaukee Bucks,115,104,W,11
Milwaukee Bucks,Miami Heat,104,115,L,-11
Houston Rockets,Oklahoma City Thunder,100,104,L,-4
Oklahoma City Thunder,Houston Rockets,104,100,W,4
Boston Celtics,Toronto Raptors,112,94,W,18
Toronto Raptors,Boston Celtics,94,112,L,-18
Los Angeles Clippers,Dallas Mavericks,111,97,W,14
Dallas Mavericks,Los Angeles Clippers,97,111,L,-14
Denver Nuggets,Utah Jazz,119,107,W,12
Utah Jazz,Denver Nuggets,107,119,L,-12
Oklahoma City Thunder,Houston Rockets,80,114,L,-34
Houston Rockets,Oklahoma City Thunder,114,80,W,34
Orlando Magic,Milwaukee Bucks,104,118,L,-14
Milwaukee Bucks,Orlando Magic,118,104,W,14
Portland Trail Blazers,Los Angeles Lakers,122,131,L,-9
Los Angeles Lakers,Portland Trail Blazers,131,122,W,9
Utah Jazz,Denver Nuggets,107,117,L,-10
Denver Nuggets,Utah Jazz,117,107,W,10
Dallas Mavericks,Los Angeles Clippers,111,154,L,-43
Los Angeles Clippers,Dallas Mavericks,154,111,W,43
Los Angeles Lakers,Portland Trail Blazers,135,115,W,20
Portland Trail Blazers,Los Angeles Lakers,115,135,L,-20
Houston Rockets,Oklahoma City Thunder,114,117,L,-3
Oklahoma City Thunder,Houston Rockets,117,114,W,3
Indiana Pacers,Miami Heat,87,99,L,-12
Miami Heat,Indiana Pacers,99,87,W,12
Milwaukee Bucks,Orlando Magic,121,106,W,15
Orlando Magic,Milwaukee Bucks,106,121,L,-15
Toronto Raptors,Brooklyn Nets,150,122,W,28
Brooklyn Nets,Toronto Raptors,122,150,L,-28
Denver Nuggets,Utah Jazz,127,129,L,-2
Utah Jazz,Denver Nuggets,129,127,W,2
Los Angeles Clippers,Dallas Mavericks,133,135,L,-2
Dallas Mavericks,Los Angeles Clippers,135,133,W,2
Boston Celtics,Philadelphia 76ers,110,106,W,4
Philadelphia 76ers,Boston Celtics,106,110,L,-4
Milwaukee Bucks,Orlando Magic,121,107,W,14
Orlando Magic,Milwaukee Bucks,107,121,L,-14
Houston Rockets,Oklahoma City Thunder,107,119,L,-12
Oklahoma City Thunder,Houston Rockets,119,107,W,12
Los Angeles Lakers,Portland Trail Blazers,116,108,W,8
Portland Trail Blazers,Los Angeles Lakers,108,116,L,-8
